position_mm,potential_mv_at_reference_drive
7.180711350000032667e+01,4.306190545055128993e+00
7.191563310000032061e+01,4.318270349473647407e+00
7.194050000000032696e+01,4.321038395877200067e+00
7.194250000000032230e+01,4.321261024866220879e+00
7.194450000000033185e+01,4.321483653855244356e+00
7.196936690000032399e+01,4.324251700258795239e+00
7.207788650000033215e+01,4.336804912297680836e+00
7.224819190000032165e+01,4.357090436221743524e+00
7.241849730000032537e+01,4.378230616964262190e+00
7.258880270000032908e+01,4.400293513529317302e+00
7.275910810000033280e+01,4.423323496728966298e+00
7.292941350000032230e+01,4.447208136640672826e+00
7.303793310000031624e+01,4.462816509535988629e+00
7.306280000000032260e+01,4.466491427872801623e+00
7.306480000000031794e+01,4.466786994938805044e+00
7.306680000000032749e+01,4.467082562004810242e+00
7.309166690000031963e+01,4.470757480341620571e+00
7.320018650000032778e+01,4.486796023808865996e+00
7.337049190000031729e+01,4.512999503192054007e+00
7.354079730000032100e+01,4.540058772995803515e+00
7.371110270000032472e+01,4.567972699526277047e+00
7.388140810000032843e+01,4.596741282793564309e+00
7.405171350000031794e+01,4.626364522854668593e+00
7.416023310000031188e+01,4.645699937310812544e+00
7.418510000000031823e+01,4.650130582261030376e+00
7.418710000000031357e+01,4.650486931058042117e+00
7.418910000000032312e+01,4.650843279855056522e+00
7.421396690000031526e+01,4.655409453247791873e+00
7.432248650000032342e+01,4.675797892524808930e+00
7.449279190000032713e+01,4.708394199169021022e+00
7.466309730000031664e+01,4.741846014910584550e+00
7.483340270000032035e+01,4.776087979439747500e+00
7.500370810000032407e+01,4.811120092648161872e+00
7.517401350000031357e+01,4.847088383230757636e+00
7.528253310000032172e+01,4.870471375750137000e+00
7.530740000000031387e+01,4.875862971513971189e+00
7.530940000000032342e+01,4.876296607854959220e+00
7.531140000000031876e+01,4.876730244195944586e+00
7.533626690000032511e+01,4.882121839959781440e+00
7.544478650000031905e+01,4.906190764725229414e+00
7.561509190000032277e+01,4.945366337699383941e+00
7.578539730000032648e+01,4.986570303942848170e+00
7.595570270000033020e+01,5.028859958803347574e+00
7.612600810000031970e+01,5.071869028296331905e+00
7.629631350000032342e+01,5.116521105749367138e+00
7.640483310000033157e+01,5.145721294709960425e+00
7.642970000000032371e+01,5.152656289908200904e+00
7.643170000000033326e+01,5.153214059087171783e+00
7.643370000000032860e+01,5.153771828266139110e+00
7.645856690000033495e+01,5.160706823464384030e+00
7.656708650000032890e+01,5.190971267561363511e+00
7.673739190000033261e+01,5.239653824627505507e+00
7.690769730000033633e+01,5.288864568782215336e+00
7.707800270000032583e+01,5.339031091344802249e+00
7.724830810000032955e+01,5.390930497669616628e+00
7.741861350000033326e+01,5.445070035663004404e+00
7.752713310000032720e+01,5.481107982818706148e+00
7.755200000000033356e+01,5.489365956752690678e+00
7.755400000000034311e+01,5.490030130729665281e+00
7.755600000000033845e+01,5.490694304706636331e+00
7.758086690000033059e+01,5.498952278640615532e+00
7.768938650000033874e+01,5.536414281012352667e+00
7.785969190000034246e+01,5.596015376144129583e+00
7.802999730000033196e+01,5.656647263946596560e+00
7.820030270000033568e+01,5.719230111406902850e+00
7.837060810000033939e+01,5.784279521411657576e+00
7.854091350000034311e+01,5.851373439892509687e+00
7.864943310000033705e+01,5.895115035133219550e+00
7.867430000000034340e+01,5.905334717691329338e+00
7.867630000000033874e+01,5.906156668361343343e+00
7.867830000000034829e+01,5.906978619031362676e+00
7.870316690000034043e+01,5.917198301589467135e+00
7.881168650000034859e+01,5.961966739526726400e+00
7.898199190000033809e+01,6.034429012746272747e+00
7.915229730000034181e+01,6.109100961557577314e+00
7.932260270000034552e+01,6.185813026983115748e+00
7.949290810000034924e+01,6.264291548257896913e+00
7.966321350000035295e+01,6.346192300360115723e+00
7.977173310000034689e+01,6.401108131132891899e+00
7.979660000000035325e+01,6.413691908369851369e+00
7.979860000000034859e+01,6.414703998918888317e+00
7.980060000000034393e+01,6.415728532711915122e+00
7.982546690000035028e+01,6.428828018121828691e+00
7.993398650000034422e+01,6.485994408660627819e+00
8.010429190000034794e+01,6.577871453612520902e+00
8.027459730000035165e+01,6.672664589457487416e+00
8.044490270000035537e+01,6.770373816150863533e+00
8.061520810000035908e+01,6.870921407150140325e+00
8.078551350000034859e+01,6.973892840296935347e+00
8.089403310000035674e+01,7.042142189980796552e+00
8.091890000000034888e+01,7.057874330463222101e+00
8.092090000000035843e+01,7.059139638200214506e+00
8.092290000000035377e+01,7.060404945937198029e+00
8.094776690000036012e+01,7.076137086419632460e+00
8.105628650000035407e+01,7.146303158098389119e+00
8.122659190000035778e+01,7.259332242206605557e+00
8.139689730000036150e+01,7.376218589611503340e+00
8.156720270000036521e+01,7.497592649373081564e+00
8.173750810000035472e+01,7.622740696116938608e+00
8.190781350000035843e+01,7.752187701860068891e+00
8.201633310000036658e+01,7.836127676325593150e+00
8.204120000000035873e+01,7.855611743359371957e+00
8.204320000000035407e+01,7.857178811794419460e+00
8.204520000000036362e+01,7.858745880229477621e+00
8.207006690000036997e+01,7.878229947263267974e+00
8.217858650000036391e+01,7.963258767135445559e+00
8.234889190000036763e+01,8.100653418043535225e+00
8.251919730000037134e+01,8.241748348589670314e+00
8.268950270000036085e+01,8.386490496606239020e+00
8.285980810000036456e+01,8.534853082794338519e+00
8.303011350000036828e+01,8.686836107088561576e+00
8.313863310000036222e+01,8.785980673451939893e+00
8.316350000000036857e+01,8.808699316142313052e+00
8.316550000000036391e+01,8.810526535674327420e+00
8.316750000000035925e+01,8.812353755206341788e+00
