position_mm,potential_mv_at_reference_drive
5.272801350000075615e+01,3.579618373213299787e+00
5.283653310000075720e+01,3.580598209397213960e+00
5.286140000000074934e+01,3.580825299598231037e+00
5.286340000000075179e+01,3.580843564054276396e+00
5.286540000000075423e+01,3.580861828510322198e+00
5.289026690000076059e+01,3.581088918711339275e+00
5.299878650000076163e+01,3.582079944443469000e+00
5.316909190000075824e+01,3.583661495744360437e+00
5.333939730000075485e+01,3.585264903448500018e+00
5.350970270000075857e+01,3.586890167609892099e+00
5.368000810000076228e+01,3.588537288246751888e+00
5.385031350000075889e+01,3.590206265357657411e+00
5.395883310000075994e+01,3.591281632194466944e+00
5.398370000000075919e+01,3.591528048874903067e+00
5.398570000000076163e+01,3.591547867724895315e+00
5.398770000000076408e+01,3.591567686574887563e+00
5.401256690000076333e+01,3.591816056641741639e+00
5.412108650000076437e+01,3.592908291657077591e+00
5.429139190000076098e+01,3.594636598257902271e+00
5.446169730000076470e+01,3.596386761331351600e+00
5.463200270000076841e+01,3.598158780860372108e+00
5.480230810000076502e+01,3.599952656788397043e+00
5.497261350000076163e+01,3.601772646138917455e+00
5.508113310000076268e+01,3.602944965318886528e+00
5.510600000000076903e+01,3.603214573765791240e+00
5.510800000000077148e+01,3.603236257887809213e+00
5.511000000000077392e+01,3.603257942009827186e+00
5.513486690000076607e+01,3.603527550456731454e+00
5.524338650000076711e+01,3.604710870556524061e+00
5.541369190000077083e+01,3.606585932534734695e+00
5.558399730000077454e+01,3.608485338353816907e+00
5.575430270000077115e+01,3.610408728913113929e+00
5.592460810000076776e+01,3.612353975879200263e+00
5.609491350000077148e+01,3.614321079344139154e+00
5.620343310000077253e+01,3.615582530214067170e+00
5.622830000000077177e+01,3.615875330426556289e+00
5.623030000000077422e+01,3.615898879820528933e+00
5.623230000000077666e+01,3.615922429214502021e+00
5.625716690000077591e+01,3.616215229426991140e+00
5.636568650000077696e+01,3.617493014834067822e+00
5.653599190000078067e+01,3.619519447827315162e+00
5.670629730000077728e+01,3.621567737296964129e+00
5.687660270000077389e+01,3.623637883200690357e+00
5.704690810000077761e+01,3.625729885527106511e+00
5.721721350000078132e+01,3.627843744326148645e+00
5.732573310000078237e+01,3.629205870841760273e+00
5.735060000000077451e+01,3.629517997534551732e+00
5.735260000000077696e+01,3.629543101322542320e+00
5.735460000000077940e+01,3.629568205110532908e+00
5.737946690000078576e+01,3.629880331803324811e+00
5.748798650000078680e+01,3.631256134852852036e+00
5.765829190000078341e+01,3.633429323175068948e+00
5.782859730000078002e+01,3.635624368011400431e+00
5.799890270000078374e+01,3.637841439813639166e+00
5.816920810000078745e+01,3.640084813154392140e+00
5.833951350000078406e+01,3.642350043036615581e+00
5.844803310000078511e+01,3.643803976877979967e+00
5.847290000000078436e+01,3.644139295337240014e+00
5.847490000000078680e+01,3.644166264397256327e+00
5.847690000000078925e+01,3.644193233457272640e+00
5.850176690000078850e+01,3.644528551916532244e+00
5.861028650000078954e+01,3.645993486642153947e+00
5.878059190000078615e+01,3.648316447014687380e+00
5.895089730000078987e+01,3.650662862868690794e+00
5.912120270000079358e+01,3.653031135145378361e+00
5.929150810000079019e+01,3.655421263867017156e+00
5.946181350000078680e+01,3.658169130545799952e+00
5.957033310000078785e+01,3.660306480010938834e+00
5.959520000000079420e+01,3.660796246425620293e+00
5.959720000000079665e+01,3.660835637456643976e+00
5.959920000000079909e+01,3.660875028487667660e+00
5.962406690000079124e+01,3.661389346870303374e+00
5.973258650000079228e+01,3.663637403146104088e+00
5.990289190000079600e+01,3.667164511605507382e+00
6.007319730000079971e+01,3.670690414499186538e+00
6.024350270000079632e+01,3.674215111810705370e+00
6.041380810000079293e+01,3.677738603713149868e+00
6.058411350000079665e+01,3.681260753811330666e+00
6.069263310000079770e+01,3.683504294371848342e+00
6.071750000000079694e+01,3.684018362908874966e+00
6.071950000000079939e+01,3.684059708515848630e+00
6.072150000000080183e+01,3.684101054122822294e+00
6.074636690000080108e+01,3.684615122659849362e+00
6.085488650000080213e+01,3.686858056456824961e+00
6.102519190000080584e+01,3.690389942988377747e+00
6.119549730000080245e+01,3.693994735486657355e+00
6.136580270000079906e+01,3.697827659147590929e+00
6.153610810000080278e+01,3.701832891569639461e+00
6.170641350000080649e+01,3.706009732774993015e+00
6.181493310000080754e+01,3.708739153038574266e+00
6.183980000000080679e+01,3.709390763097893284e+00
6.184180000000080213e+01,3.709443170921893351e+00
6.184380000000080457e+01,3.709495578745894306e+00
6.186866690000081093e+01,3.710147188805213325e+00
6.197718650000081198e+01,3.712990826853916460e+00
6.214749190000080858e+01,3.717633501427286991e+00
6.231779730000080519e+01,3.722447784744947086e+00
6.248810270000080891e+01,3.727433676792420325e+00
6.265840810000081262e+01,3.732501578493339078e+00
6.282871350000081634e+01,3.737429468882525363e+00
6.293723310000081028e+01,3.740239858319649002e+00
6.296210000000081664e+01,3.740883849571865483e+00
6.296410000000081197e+01,3.740935644628926138e+00
6.296610000000081442e+01,3.740987439685987681e+00
6.299096690000081367e+01,3.741631430938203717e+00
6.309948650000081471e+01,3.744593796544956721e+00
6.326979190000081132e+01,3.749371059674204698e+00
6.344009730000080793e+01,3.754363120837169721e+00
6.361040270000080454e+01,3.759569979846199672e+00
6.378070810000080115e+01,3.765021107342051199e+00
6.395101350000079776e+01,3.770702923964828202e+00
6.405953310000080592e+01,3.774433132757192055e+00
6.408440000000081227e+01,3.775305045037498530e+00
6.408640000000079340e+01,3.775375171372530314e+00
6.408840000000080295e+01,3.775445297707562542e+00
6.411326690000080930e+01,3.776317209987869461e+00
6.422178650000080324e+01,3.780155532089317649e+00
6.439209190000079275e+01,3.786387138407307784e+00
6.456239730000079646e+01,3.792866823894049055e+00
6.473270270000080018e+01,3.799561307350836525e+00
6.490300810000078968e+01,3.806470588784989229e+00
