"Distance [mm]","Voltage [V]"
83.4,50.0307811838472
83.6,50.0308524696288
83.8,50.0309237409387
84,50.0309949977767
84.2,50.0310662401428
84.4,50.0311374680371
84.6,50.0312086814596
84.8,50.0312798804102
85,50.031351064889
85.2,50.0314222348959
85.4,50.031493390431
85.6,50.0315645314943
85.8,50.0316356580857
86,50.0317067702053
86.2,50.031777867853
86.4,50.0318489510289
86.6,50.031920019733
86.8,50.0319910739652
87,50.0320621137256
87.2,50.0321331390141
87.4,50.0322041498308
87.6,50.0322751461756
87.8,50.0323461280486
88,50.0324170954498
88.2,50.0324880483791
88.4,50.0325589868366
88.6,50.0326299108222
88.8,50.032700820336
89,50.032771715378
89.2,50.0328425959481
89.4,50.0329134620464
89.6,50.0329843136729
89.8,50.0330551508274
90,50.0331259735102
90.2,50.0331967817211
90.4,50.0332675754602
90.6,50.0333383547274
90.8,50.0334091195228
91,50.0334798698464
91.2,50.0335506100552
91.4,50.0336214085805
91.6,50.0336922066237
91.8,50.0337630041849
92,50.0338338012641
92.2,50.0339045978611
92.4,50.0339753939761
92.6,50.0340461896091
92.8,50.0341169847599
93,50.0341877794288
93.2,50.0342585736156
93.4,50.0343293673203
93.6,50.034400160543
93.8,50.0344709532835
94,50.0345417455421
94.2,50.0346125373186
94.4,50.034683328613
94.6,50.0347541194253
94.8,50.0348249097556
95,50.0348956996039
95.2,50.0349664889701
95.4,50.0350372778542
95.6,50.0351080662563
95.8,50.0351788541763
96,50.0352496416142
96.2,50.0353204285701
96.4,50.0353912150439
96.6,50.0354620010357
96.8,50.0355327865454
97,50.0356035715731
97.2,50.0356743561186
97.4,50.0357451401822
97.6,50.0358159237636
97.8,50.0358867068631
98,50.0359574894804
98.2,50.0360282716157
98.4,50.036099053269
98.6,50.0361698344402
98.8,50.0362406151293
99,50.0363113953363
99.2,50.0363821750613
99.4,50.0364529543043
99.6,50.0365237330652
99.8,50.036594511344
100,50.0366652891408
100.2,50.0367360664555
100.4,50.0368068432881
100.6,50.0368776196387
100.8,50.0369483955073
101,50.0370191708937
101.2,50.0370899457982
101.4,50.0371607202205
101.6,50.0372314941608
101.8,50.037302267619
102,50.0373730405952
102.2,50.0374438130893
102.4,50.0375145851014
102.6,50.0375853566314
102.8,50.0376561276793
103,50.0377268982452
103.2,50.037797668329
103.4,50.0378684379308
103.6,50.0379392070505
103.8,50.0380099756882
104,50.0380807438438
104.2,50.0381515115173
104.4,50.0382222787088
104.6,50.0382930454182
104.8,50.0383638116455
105,50.0384345773908
105.2,50.038505342654
105.4,50.0385761074352
105.6,50.0386468717343
105.8,50.0387176355514
106,50.0387883988864
106.2,50.0388591617393
106.4,50.0389299241102
106.6,50.039000685999
106.8,50.0390714474058
107,50.0391422083305
107.2,50.0392129687731
107.4,50.0392837287337
107.6,50.0393544882123
107.8,50.0394252472087
108,50.0394960057231
108.2,50.0395667637555
108.4,50.0396375213058
108.6,50.039708278374
108.8,50.0397790349602
109,50.0398497910643
109.2,50.0399205466863
109.4,50.0399913018263
109.6,50.0400620564843
109.8,50.0401328106602
110,50.0402036444758
110.2,50.0402744989683
110.4,50.0403453699669
110.6,50.0404162574716
110.8,50.0404871614825
111,50.0405580819995
111.2,50.0406290190226
111.4,50.0406999725519
111.6,50.0407709425874
111.8,50.040841929129
112,50.0409129321767
112.2,50.0409839517306
112.4,50.0410549877906
112.6,50.0411260403568
112.8,50.041197109429
113,50.0412681950075
113.2,50.0413392970921
113.4,50.0414104156828
113.6,50.0414815507796
113.8,50.0415527023827
114,50.0416238704918
114.2,50.0416950551071
114.4,50.0417662562285
114.6,50.0418374738561
114.8,50.0419087079898
115,50.0419799586297
115.2,50.0420512257757
115.4,50.0421225094279
115.6,50.0421938095861
115.8,50.0422651262506
116,50.0423364594212
